rn,kddept,kdsatker,nmsatker,no_rekening,unit,saldo_akhir,kdbank,tgl_transaksi,updated_at
21,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-08,2025-09-09 02:11:25
22,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-08,2025-09-09 02:10:54
23,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-08,2025-09-09 02:10:06
24,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-08,2025-09-09 02:12:18
25,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-07,2025-09-08 02:15:01
26,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-07,2025-09-08 02:14:17
27,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-07,2025-09-08 02:15:44
28,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-07,2025-09-08 02:15:05
29,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-07,2025-09-08 02:15:00
30,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-07,2025-09-08 02:14:21
31,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-07,2025-09-08 02:14:56
32,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-07,2025-09-08 02:14:55
33,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-06,2025-09-07 02:07:21
34,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-06,2025-09-07 02:06:34
35,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-06,2025-09-07 02:06:44
36,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-06,2025-09-07 02:07:20
37,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-06,2025-09-07 02:08:37
38,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-06,2025-09-07 02:08:36
39,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-06,2025-09-07 02:08:37
40,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-06,2025-09-07 02:07:58
41,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-05,2025-09-06 02:04:01
42,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1001779-04-1,RSUP Dr Sardjito,0,441,2025-09-05,2025-09-06 02:07:23
43,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-05,2025-09-06 02:04:01
44,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,1381-01-000004-30-0,RSUP Dr Sardjito,364343220155,002,2025-09-05,2025-09-06 02:04:52
45,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-05,2025-09-06 02:04:12
46,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-05,2025-09-06 02:04:06
47,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-05,2025-09-06 02:06:34
48,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-05,2025-09-06 02:07:22
49,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,8020009111,RSUP Dr Sardjito,6231718451,014,2025-09-04,2025-09-05 02:10:47
50,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,001.111.000264,RSUP Dr Sardjito,-11741154411,112,2025-09-04,2025-09-05 02:10:56
51,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,018-01-00149-00-9,RSUP Dr Sardjito,-93649198,022,2025-09-04,2025-09-05 02:10:56
52,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,137-00-9200080-7,RSUP Dr Sardjito,-2270332618247,008,2025-09-04,2025-09-05 02:16:04
53,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0000501300007554,RSUP Dr Sardjito,535040402780,200,2025-09-04,2025-09-05 02:15:22
54,024,415582,RUMAH SAKIT UMUM PUSAT DR SARDJITO YOGYAKARTA,0030440504,RSUP Dr Sardjito,215013798039,009,2025-09-04,2025-09-05 02:15:21
